node,h*,h1,edges,edge costs
146,5,4, 117 120 175 176, 1 1 1 1
147,5,4, 114 120 177 178, 1 1 1 1
148,5,4, 128 120 179 180, 1 1 1 1
149,5,4, 121 177 179 120, 1 1 1 1
150,5,4, 123 175 180 120, 1 1 1 1
151,5,4, 108 176 178 120, 1 1 1 1
152,6,5, 181 131 59, 1 1 1
153,6,5, 42 132 59, 1 1 1
154,5,5, 182 107 126 125 106, 1 1 1 1 1
155,5,5, 183 109 128 127 108, 1 1 1 1 1
156,5,5, 184 119 112 111 118, 1 1 1 1 1
157,5,5, 185 124 114 113 123, 1 1 1 1 1
158,5,5, 186 117 122 121 116, 1 1 1 1 1
159,6,5, 187 132 129, 1 1 1
160,6,5, 188 133 129, 1 1 1
161,6,5, 189 131 130, 1 1 1
162,6,5, 39 133 130, 1 1 1
163,6,5, 190 138 134, 1 1 1
164,6,5, 191 139 134, 1 1 1
165,6,5, 192 137 135, 1 1 1
166,6,5, 40 139 135, 1 1 1
167,6,5, 193 137 136, 1 1 1
168,6,5, 45 138 136, 1 1 1
169,6,5, 194 144 140, 1 1 1
170,6,5, 195 145 140, 1 1 1
171,6,5, 196 143 141, 1 1 1
172,6,5, 197 145 141, 1 1 1
173,6,5, 198 143 142, 1 1 1
174,6,5, 199 144 142, 1 1 1
175,6,5, 200 150 146, 1 1 1
176,6,5, 201 151 146, 1 1 1
177,6,5, 202 149 147, 1 1 1
178,6,5, 43 151 147, 1 1 1
179,6,5, 203 149 148, 1 1 1
180,6,5, 46 150 148, 1 1 1
181,7,6, 152 226 227, 1 1 1
182,6,5, 154 204 205 206 207, 1 1 1 1 1
183,6,5, 155 208 41 209 48, 1 1 1 1 1
184,6,5, 156 210 211 212 213, 1 1 1 1 1
185,6,5, 157 214 44 215 49, 1 1 1 1 1
186,6,5, 158 216 217 218 219, 1 1 1 1 1
187,7,6, 159 228 229, 1 1 1
188,7,6, 160 230 225, 1 1 1
189,7,6, 161 231 232, 1 1 1
190,7,6, 163 233 234, 1 1 1
191,7,6, 164 235 225, 1 1 1
192,7,6, 165 236 237, 1 1 1
193,7,6, 167 226 238, 1 1 1
194,7,6, 169 239 237, 1 1 1
195,7,6, 170 240 232, 1 1 1
196,7,6, 171 233 241, 1 1 1
197,7,6, 172 235 227, 1 1 1
198,7,6, 173 228 242, 1 1 1
199,7,6, 174 230 238, 1 1 1
200,7,6, 175 239 234, 1 1 1
201,7,6, 176 240 229, 1 1 1
202,7,6, 177 236 241, 1 1 1
203,7,6, 179 231 242, 1 1 1
204,7,6, 232 182 243, 1 1 1
205,7,6, 227 182 244, 1 1 1
206,7,6, 228 244 182, 1 1 1
207,7,6, 230 243 182, 1 1 1
208,7,6, 229 183 223, 1 1 1
209,7,6, 231 220 183, 1 1 1
210,7,6, 237 184 245, 1 1 1
211,7,6, 238 184 246, 1 1 1
212,7,6, 233 246 184, 1 1 1
213,7,6, 235 245 184, 1 1 1
214,7,6, 234 185 224, 1 1 1
215,7,6, 236 221 185, 1 1 1
216,7,6, 241 186 247, 1 1 1
217,7,6, 242 186 248, 1 1 1
218,7,6, 239 248 186, 1 1 1
219,7,6, 240 247 186, 1 1 1
220,8,7, 19 209 41, 1 1 1
221,8,7, 23 215 44, 1 1 1
222,8,7, 11 47 53, 1 1 1
223,8,7, 12 48 208, 1 1 1
224,8,7, 13 49 214, 1 1 1
