node	h*	cg(transform = adapt_costs(cost_type = one))	ff(transform = adapt_costs(cost_type = one))	edges	edge costs
241	9	12	8	219,9,3	1,1,1
242	9	12	8	221,7,5	1,1,1
243	9	12	8	226,6,5	1,1,1
244	9	12	8	229,9,4	1,1,1
245	9	12	8	231,8,5	1,1,1
246	10	6	7	234,247,248	1,1,1
247	11	7	8	3,246	1,1
248	11	7	8	7,246	1,1
249	10	6	7	235,250,251	1,1,1
250	11	7	8	4,249	1,1
251	11	7	8	8,249	1,1
252	10	6	7	236,253,254	1,1,1
253	11	7	8	5,252	1,1
254	11	7	8	9,252	1,1
